github.com/AlDanial/cloc v 2.06  T=1.45 s (593.1 files/s, 232762.0 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                             blank        comment           code
./_legacy/sklearn/multioutput.py                                                                                   262            583            479
./_legacy/doc/whats_new/v1.7.rst                                                                                   143              9            472
./_legacy/sklearn/preprocessing/_label.py                                                                          190            407            464
./_legacy/doc/modules/multiclass.rst                                                                               121             32            463
./_legacy/sklearn/utils/_param_validation.py                                                                       212            243            455
./_legacy/doc/modules/decomposition.rst                                                                            295            345            454
./_legacy/doc/modules/neighbors.rst                                                                                178            215            452
./_legacy/sklearn/cluster/_optics.py                                                                               180            575            447
./tests/test_imputation/test_knn.py                                                                                107             30            433
./_legacy/sklearn/tests/test_isotonic.py                                                                           160            107            432
./_legacy/doc/faq.rst                                                                                              127             37            430
./_legacy/sklearn/svm/_libsvm_sparse.pyx                                                                            54             68            428
./_legacy/sklearn/tests/test_random_projection.py                                                                  105             52            427
./_legacy/sklearn/_loss/loss.py                                                                                    213            577            426
./_legacy/sklearn/ensemble/_stacking.py                                                                            189            536            420
./_legacy/sklearn/discriminant_analysis.py                                                                         213            555            418
./src/wildlife/imputation/_iterative.py                                                                            164            426            412
./_legacy/doc/modules/svm.rst                                                                                      206            202            408
./_legacy/sklearn/cross_decomposition/_pls.py                                                                      205            487            405
./_legacy/sklearn/base.py                                                                                          231            705            404
./_legacy/sklearn/mixture/_gaussian_mixture.py                                                                     195            410            400
./_legacy/sklearn/svm/_classes.py                                                                                  348           1051            399
./_legacy/doc/whats_new/v0.16.rst                                                                                  142              9            393
./_legacy/doc/modules/tree.rst                                                                                     218            165            392
./_legacy/sklearn/kernel_approximation.py                                                                          210            512            388
./_legacy/sklearn/covariance/_robust_covariance.py                                                                 123            418            384
./_legacy/examples/linear_model/plot_tweedie_regression_insurance_claims.py                                         88            230            382
./_legacy/sklearn/decomposition/_lda.py                                                                            182            392            382
./_legacy/sklearn/manifold/_locally_linear.py                                                                      151            345            382
./_legacy/sklearn/utils/_indexing.py                                                                               124            260            379
./_legacy/doc/whats_new/v0.17.rst                                                                                  129              8            378
./_legacy/sklearn/gaussian_process/_gpc.py                                                                         160            436            377
./_legacy/doc/modules/compose.rst                                                                                  135            106            374
./_legacy/sklearn/linear_model/_linear_loss.py                                                                      88            367            373
./_legacy/sklearn/feature_selection/_rfe.py                                                                        181            461            372
./_legacy/sklearn/linear_model/_base.py                                                                            159            348            370
./_legacy/doc/common_pitfalls.rst                                                                                  120             86            368
./_legacy/sklearn/neighbors/_quad_tree.pyx                                                                         100            144            367
./_legacy/sklearn/ensemble/_weight_boosting.py                                                                     235            529            365
./_legacy/sklearn/tests/metadata_routing_common.py                                                                 125             95            364
./_legacy/sklearn/utils/sparsefuncs_fast.pyx                                                                       123            198            362
./_legacy/sklearn/cluster/_k_means_elkan.pyx                                                                       124            204            358
./_legacy/sklearn/neighbors/_classification.py                                                                     155            410            358
./_legacy/sklearn/tests/test_public_functions.py                                                                    34             20            350
